Name,ID,SKU,Description,Internet Speed,Internet Package,Landline Phone,Cable TV,Router Included,Contract Length,SLA,Categories,Price,Merged Properties
FiberUP 10Mb/s,1,FUP-10M,"Perfect for light browsing and emails! Affordable internet with unlimited data for basic home use. No frills, just connectivity.",10Mb/s,Unlimited,Yes,Basic,No,12 Months,No,Home,10,Internet Speed -> 10Mb/s ; Internet Data -> Unlimited ; Landline Phone -> Yes ; Cable TV -> Basic ; Router Included -> No ; Contract Length -> 12 Months ; SLA -> No
FiberUp 50Mb/s,2,FUP-50M,A great choice for small households! Stream and browse comfortably with unlimited data and reliable speeds.,50Mb/s,Unlimited,Yes,Basic,Yes,24 Months,No,Home,15,Internet Speed -> 50Mb/s ; Internet Data -> Unlimited ; Landline Phone -> Yes ; Cable TV -> Basic ; Router Included -> Yes ; Contract Length -> 24 Months ; SLA -> No
FiberUp 100Mb/s,3,FUP-100M,Fast internet for streaming and gaming. Enjoy seamless online experiences with unlimited data and strong connectivity.,100Mb/s,Unlimited,Yes,Basic,Yes,24 Months,No,Home,20,Internet Speed -> 100Mb/s ; Internet Data -> Unlimited ; Landline Phone -> Yes ; Cable TV -> Basic ; Router Included -> Yes ; Contract Length -> 24 Months ; SLA -> No
FiberUp 1Gb/s,4,FUP-1G,"Supercharged speeds for heavy internet users! Ideal for families, gamers, and streaming enthusiasts with unlimited data.",1Gb/s,Unlimited,Yes,Basic,Yes,24 Months,No,Home,30,Internet Speed -> 1Gb/s ; Internet Data -> Unlimited ; Landline Phone -> Yes ; Cable TV -> Basic ; Router Included -> Yes ; Contract Length -> 24 Months ; SLA -> No
FiberUp 100MB/s Cable Premium,5,FUP-C100M,"Get 100Mb/s high-speed internet with unlimited data and premium cable TV. Perfect for households needing reliable streaming, gaming, and entertainment.",100Mb/s,Unlimited,Yes,Premium,Yes,24 Months,No,Home,35,Internet Speed -> 100Mb/s ; Internet Data -> Unlimited ; Landline Phone -> Yes ; Cable TV -> Premium ; Router Included -> Yes ; Contract Length -> 24 Months ; SLA -> No
FiberUp 1Gb/s Cable Premium,6,FUP-C1G,"Enjoy ultra-fast 1Gb/s speeds, unlimited data, and premium cable TV. The ultimate package for seamless connectivity and top-quality entertainment.",1Gb/s,Unlimited,Yes,Premium,Yes,24 Months,No,Home,50,Internet Speed -> 1Gb/s ; Internet Data -> Unlimited ; Landline Phone -> Yes ; Cable TV -> Premium ; Router Included -> Yes ; Contract Length -> 24 Months ; SLA -> No
FiberUp Business 10Gb/s,7,FUB-10G,Take your business to the next level with 10Gb/s speeds and dual-line support. Designed for high-demand environments requiring seamless connectivity.,10Gb/s,Unlimited,Two lines included,No,Yes,24 Months,Yes,Home,50,Internet Speed -> 10Gb/s ; Internet Data -> Unlimited ; Landline Phone -> Two lines included ; Cable TV -> No ; Router Included -> Yes ; Contract Length -> 24 Months ; SLA -> Yes
FiberUp Business Duplex,8,FUB-DPX,Get two dedicated 10Gb/s connections for unmatched reliability and performance. Perfect for businesses with heavy workloads or multiple users.,"Two connections, 10Gb/s each",Unlimited,Two lines included,No,Yes,24 Months,Yes,Home,80,"Internet Speed -> Two connections, 10Gb/s each ; Internet Data -> Unlimited ; Landline Phone -> Two lines included ; Cable TV -> No ; Router Included -> Yes ; Contract Length -> 24 Months ; SLA -> Yes"
MobileUp 5GB,9,MUP-5GB,Affordable mobile internet for light use. Stay connected on the go with 5GB of data.,LTE,5GB,No,No,No,12 Months,No,Mobile,10,Internet Speed -> LTE ; Internet Data -> 5GB ; Landline Phone -> No ; Cable TV -> No ; Router Included -> No ; Contract Length -> 12 Months ; SLA -> No
MobileUp 10GB,10,MUP-10GB,"More data, more connectivity! Ideal for moderate users needing reliable LTE performance.",LTE,10GB,No,No,No,24 Months,No,Mobile,15,Internet Speed -> LTE ; Internet Data -> 10GB ; Landline Phone -> No ; Cable TV -> No ; Router Included -> No ; Contract Length -> 24 Months ; SLA -> No
MobileUp 50GB,11,MUP-50GB,"Experience the speed of 5G with a generous 50GB of data. Perfect for streaming, browsing, and work on the go.",5G,50GB,No,No,No,24 Months,No,Mobile,30,Internet Speed -> 5G ; Internet Data -> 50GB ; Landline Phone -> No ; Cable TV -> No ; Router Included -> No ; Contract Length -> 24 Months ; SLA -> No
MobileUp Unlimited,12,MUP-UNL,Unlimited 5G for the ultimate mobile experience. Enjoy seamless connectivity wherever you are.,5G,Unlimited,No,No,No,24 Months,No,Mobile,50,Internet Speed -> 5G ; Internet Data -> Unlimited ; Landline Phone -> No ; Cable TV -> No ; Router Included -> No ; Contract Length -> 24 Months ; SLA -> No
